ADDRESS,SQFT,BEDS,BATHS,BTH_STYLE,KITCH_STYLE,PROPERTY_TYPE,YRS_SINCE_REMOD,HOA_FEES,NEIGHBORHOOD,PROPERTY_TYPE,AGE_OF_HOME,LIST_PRICE,DAYS_ON_MKT,AVE_PRICE_IN_NEIGHBORHOOD
56 Keystone St,1230.0,3.0,2.0,S,N,Single Family Residential,92.0,0.0,West Roxbury,Single Family Residential,92.0,629000.0,33.0,585752.2868686869
110 Park St #6,1470.0,3.0,2.0,M,M,Townhouse,3.0,0.0,West Roxbury,Townhouse,3.0,685000.0,36.0,585752.2868686869
164 Beacon St #7,594.0,1.0,1.0,M,M,Condo/Co-op,2.0,442.0,Back Bay,Condo/Co-op,169.0,615000.0,61.0,1160344.096196868
60 Arlington St,2500.0,5.0,2.5,S,S,Single Family Residential,109.0,0.0,Hyde Park,Single Family Residential,109.0,459000.0,33.0,449727.45945945947
111 Pierce St,1624.0,4.0,1.0,S,S,Single Family Residential,109.0,0.0,Hyde Park,Single Family Residential,109.0,389900.0,44.0,449727.45945945947
26 Chittick Rd,598.0,2.0,1.5,S,S,Single Family Residential,99.0,0.0,Hyde Park,Single Family Residential,99.0,349900.0,41.0,449727.45945945947
11 Revere St #3,610.0,2.0,1.0,S,S,Condo/Co-op,34.0,344.0,Beacon Hill,Condo/Co-op,169.0,650000.0,49.0,1108321.586419753
437 Huntington Ave,2184.0,5.0,4.0,S,N,Multi-Family (2-4 Unit),94.0,0.0,Hyde Park,Multi-Family (2-4 Unit),94.0,650000.0,58.0,449727.45945945947
19 Rosa St,960.0,3.0,2.0,M,M,Single Family Residential,23.0,0.0,Hyde Park,Single Family Residential,33.0,399000.0,129.0,449727.45945945947
4 Gwinnett St,1152.0,3.0,1.0,N,N,Single Family Residential,77.0,0.0,Hyde Park,Single Family Residential,77.0,399900.0,62.0,449727.45945945947
26 Highland St,1360.0,3.0,2.0,S,S,Single Family Residential,63.0,0.0,Hyde Park,Single Family Residential,63.0,429900.0,44.0,449727.45945945947
92 Glenwood Ave,1306.0,3.0,1.5,S,S,Single Family Residential,59.0,0.0,Hyde Park,Single Family Residential,59.0,464900.0,83.0,449727.45945945947
83-85 Belnel Rd,1008.0,3.0,1.5,S,S,Single Family Residential,74.0,0.0,Hyde Park,Single Family Residential,74.0,349900.0,58.0,449727.45945945947
26 Williams Ave,2324.0,4.0,2.0,S,M,Multi-Family (2-4 Unit),30.0,0.0,Hyde Park,Multi-Family (2-4 Unit),119.0,634900.0,58.0,449727.45945945947
41 Lucerne St,4098.0,12.0,3.0,M,M,Multi-Family (2-4 Unit),3.0,0.0,Dorchester,Multi-Family (2-4 Unit),114.0,749999.0,22.0,562529.161971831
30-32 Nelson St,3798.0,6.0,3.0,S,N,Multi-Family (2-4 Unit),114.0,0.0,Dorchester,Multi-Family (2-4 Unit),114.0,575000.0,102.0,562529.161971831
198 Stratford St #2,1688.0,3.0,1.0,M,S,Condo/Co-op,5.0,212.0,West Roxbury's Bellevue Hill,Condo/Co-op,99.0,459900.0,37.0,721138.0294117647
41 Russett Rd,1584.0,4.0,1.5,S,S,Single Family Residential,99.0,0.0,West Roxbury,Single Family Residential,99.0,639900.0,47.0,585752.2868686869
22 Hewlett St #1,1106.0,2.0,2.0,M,M,Condo/Co-op,9.0,252.0,Roslindale,Condo/Co-op,129.0,475000.0,45.0,523412.4187082406
140 Beech St,2600.0,4.0,2.5,L,L,Single Family Residential,3.0,0.0,Roslindale,Single Family Residential,2.0,829000.0,65.0,523412.4187082406
142 Tyndale St #1,1622.0,2.0,2.0,M,M,Condo/Co-op,2.0,164.0,Roslindale,Condo/Co-op,94.0,475000.0,38.0,523412.4187082406
62 Mattapan St #62,1390.0,3.0,1.5,M,M,Townhouse,31.0,225.0,Mattapan,Townhouse,31.0,299900.0,33.0,448626.2718446602
51 Taunton Ave,2500.0,4.0,2.5,M,M,Single Family Residential,2.0,0.0,Hyde Park,Single Family Residential,2.0,629000.0,82.0,449727.45945945947
115 Desoto Rd,2400.0,4.0,2.5,S,S,Single Family Residential,64.0,0.0,West Roxbury,Single Family Residential,64.0,569900.0,55.0,585752.2868686869
86 Crosstown Ave,3132.0,4.0,2.5,M,M,Single Family Residential,7.0,0.0,West Roxbury,Single Family Residential,7.0,899900.0,45.0,585752.2868686869
81 Gardner St,1127.0,3.0,2.0,S,S,Single Family Residential,18.0,0.0,West Roxbury,Single Family Residential,69.0,450000.0,40.0,585752.2868686869
111 Stimson St,1375.0,3.0,2.0,S,S,Single Family Residential,69.0,0.0,West Roxbury,Single Family Residential,69.0,499000.0,56.0,585752.2868686869
10 Oak Rd,2800.0,4.0,2.5,M,M,Single Family Residential,11.0,0.0,West Roxbury,Single Family Residential,11.0,789900.0,52.0,585752.2868686869
64 Overlook Rd,940.0,1.0,1.0,S,S,Single Family Residential,119.0,0.0,West Roxbury,Single Family Residential,119.0,349900.0,54.0,585752.2868686869
150 M St #3,919.0,2.0,2.0,M,M,Condo/Co-op,10.0,150.0,South Boston,Condo/Co-op,129.0,624617.0,41.0,769346.4857594938
3 Appleton St #503,541.0,1.0,1.0,S,S,Condo/Co-op,42.0,235.0,South End,Condo/Co-op,119.0,520000.0,28.0,1109405.737771739
7 Holden Row #1,1880.0,3.0,3.0,M,M,Condo/Co-op,3.0,295.0,Charlestown,Condo/Co-op,3.0,1149000.0,47.0,842946.4683301344
186-188 Paris St #3,939.0,2.0,2.0,M,M,Condo/Co-op,2.0,350.0,East Boston,Condo/Co-op,3.0,510000.0,100.0,577539.0482315114
76 Elm St #317,550.0,1.0,1.0,M,M,Condo/Co-op,13.0,357.0,Jamaica Plain,Condo/Co-op,93.0,307000.0,51.0,663824.107776262
35 Sparrow St,1306.0,3.0,2.0,M,M,Single Family Residential,4.0,0.0,West Roxbury,Single Family Residential,56.0,499900.0,49.0,585752.2868686869
154 SUMNER St,1990.0,5.0,3.0,M,M,Multi-Family (2-4 Unit),99.0,0.0,East Boston's Jeffries Point,Multi-Family (2-4 Unit),99.0,759900.0,62.0,577752.3559322035
4 Browning Ave,4470.0,11.0,3.0,S,S,Multi-Family (2-4 Unit),119.0,0.0,Dorchester,Multi-Family (2-4 Unit),119.0,659900.0,107.0,562529.161971831
801 Centre St Unit 3C,1916.0,3.0,2.0,M,M,Condo/Co-op,5.0,368.0,Jamaica Plain,Condo/Co-op,120.0,699000.0,41.0,663824.107776262
300 Allston St #408,1277.0,2.0,2.0,M,M,Condo/Co-op,17.0,584.0,Brighton,Condo/Co-op,17.0,649900.0,44.0,637503.5923344948
300 Allston St #501,1384.0,2.0,2.0,M,M,Condo/Co-op,17.0,612.0,Brighton,Condo/Co-op,17.0,679000.0,83.0,637503.5923344948
300 Allston St #103,991.0,1.0,1.0,S,S,Condo/Co-op,17.0,429.0,Brighton,Condo/Co-op,17.0,475000.0,80.0,637503.5923344948
265 Emerson St #2,812.0,2.0,2.0,S,S,Condo/Co-op,44.0,200.0,South Boston,Condo/Co-op,120.0,489000.0,71.0,769346.4857594938
300 Allston St #412,824.0,1.0,1.0,M,M,Condo/Co-op,17.0,428.0,Brighton,Condo/Co-op,17.0,474900.0,36.0,637503.5923344948
110 Arlington St,1990.0,4.0,2.0,M,M,Single Family Residential,6.0,0.0,Brighton,Single Family Residential,105.0,699000.0,58.0,637503.5923344948
400 Stuart St Unit 17F,765.0,1.0,1.0,M,L,Condo/Co-op,10.0,719.0,Back Bay,Condo/Co-op,10.0,995000.0,57.0,1160344.096196868
18 Glencoe St #34,722.0,1.0,1.0,S,S,Condo/Co-op,54.0,298.0,Brighton,Condo/Co-op,54.0,279900.0,39.0,637503.5923344948
15 Sparhawk St #5,2300.0,4.0,3.5,M,M,Townhouse,3.0,250.0,Brighton,Townhouse,3.0,849000.0,152.0,637503.5923344948
23 Dawes St,2855.0,4.0,3.5,M,M,Single Family Residential,7.0,0.0,Dorchester's Savin Hill,Single Family Residential,139.0,759000.0,45.0,587871.7603305785
121 Sycamore St #3,974.0,3.0,1.0,M,M,Condo/Co-op,14.0,200.0,Roslindale,Condo/Co-op,109.0,319000.0,31.0,523412.4187082406
23 Grew Ave,3170.0,5.0,3.5,M,M,Single Family Residential,16.0,0.0,Roslindale,Single Family Residential,16.0,759900.0,57.0,523412.4187082406
129 Pembroke St #1,761.0,1.0,1.0,M,M,Condo/Co-op,2.0,259.0,South End,Condo/Co-op,69.0,550000.0,32.0,1109405.737771739
194 W Brookline St #1,1630.0,2.0,2.0,M,M,Condo/Co-op,2.0,572.0,South End,Condo/Co-op,119.0,1425000.0,88.0,1109405.737771739
14 Birchland Ter,1075.0,3.0,1.5,S,S,Single Family Residential,64.0,0.0,West Roxbury,Single Family Residential,64.0,419900.0,42.0,585752.2868686869
375 Baker St,1400.0,3.0,1.5,M,M,Single Family Residential,3.0,0.0,West Roxbury,Single Family Residential,90.0,469900.0,42.0,585752.2868686869
30 Kinross Rd #3,812.0,2.0,1.0,M,M,Condo/Co-op,6.0,555.0,Brighton,Condo/Co-op,72.0,345000.0,16.0,637503.5923344948
67 Sullivan St #1,1028.0,2.0,1.0,M,M,Condo/Co-op,37.0,160.0,Charlestown,Condo/Co-op,129.0,579000.0,18.0,842946.4683301344
18 Sackville St #1,1230.0,2.0,2.0,M,M,Condo/Co-op,2.0,200.0,Charlestown,Condo/Co-op,139.0,759000.0,57.0,842946.4683301344
535 Harrison Ave Unit A201,727.0,1.0,1.0,S,S,Condo/Co-op,17.0,320.0,South End,Condo/Co-op,17.0,409900.0,81.0,1109405.737771739
170 Tremont St #1803,1121.0,2.0,2.0,S,S,Condo/Co-op,30.0,1389.0,Midtown,Condo/Co-op,30.0,1100000.0,32.0,1438016.4602272727
735 Harrison Ave Unit W101,886.0,2.0,1.0,M,M,Condo/Co-op,13.0,410.0,South End,Condo/Co-op,13.0,599000.0,55.0,1109405.737771739
103 E Brookline St #3,601.0,2.0,1.0,M,M,Condo/Co-op,19.0,168.0,South End,Condo/Co-op,119.0,539000.0,44.0,1109405.737771739
8 W Hill Pl #1,1370.0,4.0,2.0,S,M,Townhouse,103.0,925.0,Beacon Hill,Townhouse,103.0,1495000.0,45.0,1108321.586419753
11 Hancock St #2,559.0,1.0,1.0,S,M,Condo/Co-op,39.0,190.0,Beacon Hill,Condo/Co-op,139.0,549000.0,56.0,1108321.586419753
17 Monument Ave,2755.0,4.0,2.5,M,M,Single Family Residential,17.0,0.0,Charlestown,Single Family Residential,156.0,1799000.0,18.0,842946.4683301344
47 Harvard St Unit B203,925.0,2.0,2.0,M,M,Condo/Co-op,33.0,461.0,Charlestown,Condo/Co-op,33.0,625000.0,44.0,842946.4683301344
47 Harvard St Unit A301,910.0,2.0,2.0,M,M,Condo/Co-op,6.0,418.0,Charlestown,Condo/Co-op,33.0,669000.0,72.0,842946.4683301344
108 Main St #2,1383.0,2.0,2.0,M,M,Condo/Co-op,17.0,150.0,Charlestown,Condo/Co-op,17.0,899000.0,37.0,842946.4683301344
280 Beacon St #65,1286.0,2.0,2.0,M,L,Condo/Co-op,8.0,980.0,Back Bay,Condo/Co-op,89.0,1650000.0,54.0,1160344.096196868
10 Upland Ave #1,4360.0,3.0,2.5,M,M,Townhouse,123.0,520.0,Dorchester,Townhouse,123.0,1150000.0,63.0,562529.161971831
51 Elm St #2,960.0,2.0,2.0,M,M,Condo/Co-op,13.0,150.0,Charlestown,Condo/Co-op,134.0,600000.0,50.0,842946.4683301344
425 Main St,1601.0,3.0,2.5,M,M,Single Family Residential,2.0,0.0,Charlestown,Single Family Residential,54.0,839000.0,52.0,842946.4683301344
534 Saratoga St,2784.0,11.0,3.0,S,S,Multi-Family (2-4 Unit),119.0,0.0,East Boston,Multi-Family (2-4 Unit),119.0,849900.0,30.0,577539.0482315114
12 Foster St,2032.0,5.0,2.0,,,Single Family Residential,5.0,0.0,Brighton,Single Family Residential,169.0,749500.0,77.0,637503.5923344948
400 Stuart St Unit 20D,1439.0,2.0,2.5,L,L,Condo/Co-op,10.0,1617.0,Back Bay,Condo/Co-op,10.0,2950000.0,40.0,1160344.096196868
357 Commercial St #114,1247.0,2.0,1.5,M,S,Condo/Co-op,2.0,484.0,Waterfront,Condo/Co-op,118.0,689000.0,65.0,1175421.3673469387
156 Porter St #226,873.0,1.0,1.0,M,M,Condo/Co-op,2.0,254.0,East Boston's Jeffries Point,Condo/Co-op,109.0,314868.0,67.0,577752.3559322035
37-39 Royal St,2226.0,4.0,2.0,N,N,Multi-Family (2-4 Unit),81.0,0.0,Allston,Multi-Family (2-4 Unit),81.0,899900.0,61.0,610009.9384615384
9 W Broadway #405,1285.0,2.0,2.0,M,M,Condo/Co-op,17.0,748.0,South Boston,Condo/Co-op,113.0,1150000.0,46.0,769346.4857594938
252 Gold St #3,634.0,2.0,1.0,M,M,Condo/Co-op,4.0,142.0,South Boston,Condo/Co-op,144.0,525000.0,27.0,769346.4857594938
75-77 F St,2873.0,6.0,4.0,M,M,Multi-Family (2-4 Unit),5.0,0.0,South Boston,Multi-Family (2-4 Unit),129.0,1845000.0,43.0,769346.4857594938
253 Gold St #1,900.0,2.0,1.0,M,M,Townhouse,129.0,196.0,South Boston,Townhouse,129.0,529000.0,80.0,769346.4857594938
524 E Broadway #1,1115.0,2.0,2.0,M,M,Condo/Co-op,38.0,250.0,South Boston,Condo/Co-op,120.0,699000.0,51.0,769346.4857594938
34 Emerson St #1,1126.0,2.0,2.0,M,M,Condo/Co-op,15.0,218.0,South Boston,Condo/Co-op,114.0,735000.0,35.0,769346.4857594938
83 Dresser St #83,1607.0,3.0,2.5,M,M,Townhouse,7.0,202.0,South Boston,Townhouse,7.0,1049000.0,56.0,769346.4857594938
48 Gold St #102,1330.0,2.0,2.0,L,M,Condo/Co-op,4.0,355.0,South Boston,Condo/Co-op,4.0,979000.0,36.0,769346.4857594938
141 Dorchester Ave #812,1902.0,2.0,2.5,L,L,Condo/Co-op,13.0,1547.0,South Boston,Condo/Co-op,13.0,1489000.0,68.0,769346.4857594938
36 A St Unit 5E,1140.0,2.0,1.5,M,M,Condo/Co-op,13.0,503.0,South Boston,Condo/Co-op,13.0,859000.0,61.0,769346.4857594938
45 W Broadway #307,962.0,1.0,2.0,M,M,Condo/Co-op,17.0,429.0,South Boston,Condo/Co-op,119.0,699900.0,57.0,769346.4857594938
66 Dorchester St,1342.0,3.0,1.5,N,N,Single Family Residential,89.0,0.0,South Boston,Single Family Residential,89.0,550000.0,66.0,769346.4857594938
34 Baxter St #3,632.0,2.0,1.0,M,M,Condo/Co-op,20.0,150.0,South Boston,Condo/Co-op,114.0,399000.0,63.0,769346.4857594938
381 W Broadway #6,1195.0,3.0,2.0,M,M,Condo/Co-op,16.0,250.0,South Boston,Condo/Co-op,126.0,699000.0,54.0,769346.4857594938
141 Dorchester Ave #216,1103.0,1.0,1.0,L,L,Condo/Co-op,13.0,704.0,South Boston,Condo/Co-op,13.0,797000.0,85.0,769346.4857594938
60 H St Unit C,824.0,2.0,1.0,M,M,Condo/Co-op,22.0,150.0,South Boston,Condo/Co-op,129.0,549000.0,44.0,769346.4857594938
188 Gold St #1,510.0,1.0,1.0,M,M,Condo/Co-op,14.0,150.0,South Boston,Condo/Co-op,129.0,399000.0,30.0,769346.4857594938
81 F St #2,1199.0,2.0,2.0,M,M,Condo/Co-op,17.0,200.0,South Boston,Condo/Co-op,34.0,699000.0,37.0,769346.4857594938
39 Dorchester St #5,1173.0,2.0,2.0,S,S,Condo/Co-op,20.0,390.0,South Boston,Condo/Co-op,20.0,749000.0,53.0,769346.4857594938
381 W Broadway #4,1196.0,3.0,2.0,M,M,Condo/Co-op,16.0,215.0,South Boston,Condo/Co-op,126.0,699000.0,44.0,769346.4857594938
360 W Second St #1,1111.0,2.0,2.0,M,M,Condo/Co-op,6.0,326.0,South Boston,Condo/Co-op,6.0,799900.0,35.0,769346.4857594938
111 B St #6,1072.0,2.0,2.0,M,M,Condo/Co-op,3.0,294.0,South Boston,Condo/Co-op,3.0,799000.0,58.0,769346.4857594938
309 E St #44,802.0,1.0,1.0,M,M,Condo/Co-op,4.0,315.0,South Boston,Condo/Co-op,4.0,699900.0,40.0,769346.4857594938
97 Victoria Heights Rd #97,1793.0,3.0,2.5,S,S,Townhouse,32.0,368.0,Hyde Park,Townhouse,32.0,249000.0,41.0,449727.45945945947
156-158 F St #1,610.0,2.0,1.0,M,M,Condo/Co-op,33.0,250.0,South Boston,Condo/Co-op,120.0,460000.0,44.0,769346.4857594938
529 E Broadway #6,495.0,1.0,1.0,S,S,Condo/Co-op,24.0,253.0,South Boston,Condo/Co-op,109.0,399999.0,22.0,769346.4857594938
339 E St #2,717.0,2.0,1.0,M,M,Condo/Co-op,13.0,175.0,South Boston,Condo/Co-op,13.0,530000.0,39.0,769346.4857594938
28 Emerson St,1330.0,3.0,2.5,S,S,Single Family Residential,35.0,0.0,South Boston,Single Family Residential,99.0,599000.0,46.0,769346.4857594938
266 W Fifth St #1,1159.0,2.0,1.5,M,M,Condo/Co-op,20.0,152.0,South Boston,Condo/Co-op,134.0,599000.0,52.0,769346.4857594938
691 Massachusetts Ave #506,607.0,1.0,1.0,M,M,Condo/Co-op,9.0,314.0,South End,Condo/Co-op,9.0,550000.0,57.0,1109405.737771739
94 Worcester St #3,794.0,2.0,1.0,S,M,Condo/Co-op,39.0,250.0,South End,Condo/Co-op,120.0,895000.0,40.0,1109405.737771739
86 Worcester St #1,974.0,1.0,1.0,S,N,Condo/Co-op,36.0,156.0,South End,Condo/Co-op,144.0,585000.0,68.0,1109405.737771739
37 E Concord St #3,655.0,2.0,1.0,M,M,Condo/Co-op,15.0,175.0,South End,Condo/Co-op,120.0,685000.0,37.0,1109405.737771739
758 Tremont St #2,920.0,2.0,1.0,M,M,Condo/Co-op,34.0,275.0,South End,Condo/Co-op,120.0,900000.0,43.0,1109405.737771739
75 Clarendon St #407,680.0,1.0,1.0,S,S,Condo/Co-op,30.0,444.0,South End,Condo/Co-op,30.0,675000.0,37.0,1109405.737771739
80 W Concord St #2,680.0,1.0,1.0,M,M,Condo/Co-op,32.0,227.0,South End,Condo/Co-op,119.0,675000.0,45.0,1109405.737771739
9 Rutland Sq #1,805.0,1.0,1.0,M,M,Condo/Co-op,12.0,140.0,South End,Condo/Co-op,139.0,725000.0,47.0,1109405.737771739
94 Worcester St #1,1872.0,2.0,2.5,M,M,Condo/Co-op,39.0,515.0,South End,Condo/Co-op,,1645000.0,62.0,1109405.737771739
1670 Washington St #5,770.0,1.0,1.0,M,M,Condo/Co-op,34.0,255.0,South End,Condo/Co-op,120.0,660000.0,36.0,1109405.737771739
80 W Concord St #5,920.0,1.0,1.0,M,S,Condo/Co-op,32.0,227.0,South End,Condo/Co-op,119.0,824999.0,34.0,1109405.737771739
39 Worcester St #3,1630.0,2.0,2.5,M,M,Condo/Co-op,7.0,180.0,South End,Condo/Co-op,19.0,1585000.0,53.0,1109405.737771739
285 Columbus Ave #509,1324.0,2.0,2.0,M,M,Condo/Co-op,12.0,972.0,Back Bay,Condo/Co-op,95.0,1425000.0,45.0,1160344.096196868
37 W Newton St #4,850.0,2.0,1.0,S,M,Condo/Co-op,27.0,217.0,South End,Condo/Co-op,129.0,729000.0,52.0,1109405.737771739
169 Warren Ave #4,645.0,1.0,1.0,M,M,Condo/Co-op,4.0,131.0,South End,Condo/Co-op,99.0,635000.0,42.0,1109405.737771739
82 Appleton St #1,1804.0,3.0,2.5,M,M,Condo/Co-op,5.0,449.0,South End,Condo/Co-op,129.0,1995000.0,49.0,1109405.737771739
553 Shawmut Ave,2583.0,3.0,2.5,N,N,Single Family Residential,129.0,0.0,South End,Single Family Residential,129.0,1350000.0,68.0,1109405.737771739
529 Columbus Ave #14,481.0,1.0,1.0,M,M,Condo/Co-op,19.0,213.0,South End,Condo/Co-op,119.0,499000.0,59.0,1109405.737771739
435 Shawmut Ave #3,922.0,1.0,1.0,M,M,Condo/Co-op,3.0,354.0,South End,Condo/Co-op,119.0,949000.0,51.0,1109405.737771739
23 Worcester St #2,1517.0,2.0,2.5,M,M,Condo/Co-op,2.0,320.0,South End,Condo/Co-op,120.0,1499000.0,70.0,1109405.737771739
118 Pembroke St #2,1400.0,2.0,2.0,L,L,Townhouse,14.0,265.0,South End,Townhouse,,1599000.0,43.0,1109405.737771739
690 Tremont St #6,957.0,2.0,1.0,M,M,Condo/Co-op,13.0,380.0,South End,Condo/Co-op,120.0,975000.0,64.0,1109405.737771739
17 Cazenove St #106,286.0,0.0,1.0,M,M,Condo/Co-op,45.0,182.0,South End,Condo/Co-op,129.0,349000.0,93.0,1109405.737771739
110 W Concord St #1,950.0,2.0,1.0,M,M,Townhouse,40.0,208.0,South End,Townhouse,139.0,825000.0,37.0,1109405.737771739
407-409 Shawmut Ave #11,1892.0,3.0,2.0,L,L,Condo/Co-op,5.0,605.0,South End,Condo/Co-op,120.0,2590000.0,43.0,1109405.737771739
146 Chandler St #2,602.0,1.0,1.0,M,M,Townhouse,3.0,185.0,South End,Townhouse,120.0,695000.0,75.0,1109405.737771739
181 Warren Ave #1,1112.0,2.0,2.0,M,M,Condo/Co-op,11.0,368.0,South End,Condo/Co-op,120.0,1120000.0,70.0,1109405.737771739
675 Tremont St #6,710.0,1.0,1.0,M,M,Townhouse,11.0,269.0,South End,Townhouse,143.0,795000.0,54.0,1109405.737771739
285 Columbus Ave #709,1324.0,2.0,2.0,M,M,Condo/Co-op,12.0,1081.0,Back Bay,Condo/Co-op,95.0,1485000.0,47.0,1160344.096196868
17 E Springfield St #3,612.0,1.0,1.0,S,S,Condo/Co-op,35.0,135.0,South End,Condo/Co-op,119.0,615000.0,29.0,1109405.737771739
656 Tremont St #5,430.0,1.0,1.0,S,M,Condo/Co-op,35.0,273.0,South End,Condo/Co-op,119.0,500000.0,41.0,1109405.737771739
50 Montgomery St #1,325.0,0.0,1.0,S,S,Townhouse,7.0,83.0,South End,Townhouse,119.0,399000.0,34.0,1109405.737771739
608 Massachusetts Ave #5,900.0,2.0,1.0,M,M,Condo/Co-op,33.0,248.0,South End,Condo/Co-op,129.0,725000.0,33.0,1109405.737771739
35 Lawrence St #4,580.0,1.0,1.0,S,S,Condo/Co-op,39.0,305.0,South End,Condo/Co-op,146.0,549000.0,45.0,1109405.737771739
257 Northampton St #509,833.0,1.0,1.0,M,M,Condo/Co-op,8.0,351.0,South End,Condo/Co-op,8.0,649000.0,26.0,1109405.737771739
47 Rutland St #3,540.0,1.0,1.0,S,M,Condo/Co-op,13.0,273.0,South End,Condo/Co-op,119.0,579000.0,37.0,1109405.737771739
48 E Springfield St #1,1185.0,2.0,2.5,M,M,Condo/Co-op,13.0,346.0,South End,Condo/Co-op,119.0,1099000.0,29.0,1109405.737771739
1721 Washington St #511,1054.0,2.0,1.5,S,S,Condo/Co-op,17.0,608.0,South End,Condo/Co-op,17.0,975000.0,98.0,1109405.737771739
562 Massachusetts Ave #1,850.0,2.0,1.0,M,M,Townhouse,33.0,175.0,South End,Townhouse,120.0,699900.0,59.0,1109405.737771739
35 Worcester St #1,1170.0,2.0,1.5,S,S,Condo/Co-op,59.0,360.0,South End,Condo/Co-op,119.0,915000.0,39.0,1109405.737771739
613 Tremont St #4,1215.0,2.0,2.0,L,L,Condo/Co-op,2.0,420.0,South End,Condo/Co-op,139.0,1545000.0,57.0,1109405.737771739
105 Pembroke St #3,972.0,2.0,1.5,L,M,Condo/Co-op,2.0,402.0,South End,Condo/Co-op,154.0,1199000.0,47.0,1109405.737771739
28 Rutland Sq #1,2381.0,3.0,3.5,M,M,Condo/Co-op,11.0,456.0,South End,Condo/Co-op,120.0,2695000.0,69.0,1109405.737771739
124 Appleton St #1,1010.0,2.0,2.0,M,M,Condo/Co-op,2.0,184.0,South End,Condo/Co-op,129.0,875000.0,49.0,1109405.737771739
28 Worcester Sq #1,1877.0,3.0,2.0,S,S,Townhouse,8.0,400.0,South End,Townhouse,132.0,1499000.0,53.0,1109405.737771739
95 Gainsborough St #307,851.0,2.0,1.0,S,S,Condo/Co-op,35.0,369.0,Kenmore/Fenway,Condo/Co-op,104.0,724900.0,31.0,713805.0
435 Marlborough St #4,768.0,2.0,2.0,M,L,Condo/Co-op,1.0,539.0,Back Bay,Condo/Co-op,109.0,1100000.0,23.0,1160344.096196868
413 Beacon St #5,613.0,1.0,1.0,S,M,Condo/Co-op,41.0,390.0,Back Bay,Condo/Co-op,159.0,645000.0,52.0,1160344.096196868
376 Marlborough St #3,370.0,0.0,1.0,M,M,Condo/Co-op,3.0,191.0,Back Bay,Condo/Co-op,139.0,479000.0,55.0,1160344.096196868
362 Commonwealth Ave Unit 6F,701.0,1.0,1.0,M,M,Condo/Co-op,37.0,397.0,Back Bay,Condo/Co-op,130.0,699000.0,26.0,1160344.096196868
43 Westland Ave #607,803.0,1.0,1.0,M,M,Condo/Co-op,5.0,534.0,Kenmore/Fenway,Condo/Co-op,6.0,775000.0,55.0,713805.0
36 Symphony Rd Unit 3B,1140.0,2.0,1.5,M,M,Condo/Co-op,38.0,426.0,Kenmore/Fenway,Condo/Co-op,129.0,849000.0,49.0,713805.0
403 Marlborough St #8,968.0,1.0,1.0,M,M,Condo/Co-op,5.0,431.0,Back Bay,Condo/Co-op,135.0,849000.0,64.0,1160344.096196868
43 Westland Ave #206,1430.0,2.0,2.0,M,M,Condo/Co-op,5.0,787.0,Kenmore/Fenway,Condo/Co-op,5.0,1175000.0,66.0,713805.0
376 Marlborough St #6,1193.0,2.0,2.0,M,M,Condo/Co-op,4.0,466.0,Back Bay,Condo/Co-op,139.0,1550000.0,53.0,1160344.096196868
12 Stoneholm St #615,638.0,2.0,1.5,S,S,Condo/Co-op,49.0,625.0,Kenmore/Fenway,Condo/Co-op,49.0,679000.0,61.0,713805.0
395 Marlborough St #7,534.0,1.0,1.0,M,M,Condo/Co-op,10.0,270.0,Back Bay,Condo/Co-op,109.0,599000.0,29.0,1160344.096196868
348 Marlborough St #4,795.0,2.0,1.0,S,S,Condo/Co-op,35.0,442.0,Back Bay,Condo/Co-op,139.0,930000.0,23.0,1160344.096196868
388 Marlborough St #8,538.0,1.0,1.0,M,M,Condo/Co-op,11.0,382.0,Back Bay,Condo/Co-op,139.0,625000.0,54.0,1160344.096196868
520 Beacon St Unit 5A,896.0,2.0,1.75,S,S,Condo/Co-op,43.0,472.0,Back Bay,Condo/Co-op,99.0,899000.0,57.0,1160344.096196868
324 Shawmut Ave #3,1460.0,2.0,2.0,M,L,Condo/Co-op,6.0,396.0,South End,Condo/Co-op,129.0,1850000.0,97.0,1109405.737771739
13 Upton St #6,920.0,2.0,1.0,M,M,Condo/Co-op,35.0,149.0,South End,Condo/Co-op,129.0,1025000.0,51.0,1109405.737771739
443 Main St #1,850.0,2.0,1.0,M,M,Condo/Co-op,22.0,160.0,Charlestown,Condo/Co-op,144.0,535000.0,70.0,842946.4683301344
289 Shawmut Ave #1,1350.0,2.0,2.5,M,M,Condo/Co-op,15.0,239.0,South End,Condo/Co-op,100.0,1495000.0,42.0,1109405.737771739
400 Stuart St Unit 17B,1229.0,2.0,2.0,M,M,Condo/Co-op,0.0,1396.0,Back Bay,Condo/Co-op,0.0,2150000.0,56.0,1160344.096196868
2 Clarendon St #408,793.0,1.0,1.0,M,M,Condo/Co-op,31.0,793.0,South End,Condo/Co-op,31.0,795000.0,35.0,1109405.737771739
370 Bunker Hill St #4,480.0,1.0,1.0,M,M,Condo/Co-op,6.0,150.0,Charlestown,Condo/Co-op,119.0,419000.0,36.0,842946.4683301344
91 Waltham St #3,655.0,2.0,1.0,S,S,Condo/Co-op,44.0,264.0,South End,Condo/Co-op,129.0,639000.0,26.0,1109405.737771739
75 Clarendon St #506,665.0,1.0,1.0,S,S,Condo/Co-op,30.0,606.0,South End,Condo/Co-op,30.0,699000.0,36.0,1109405.737771739
