DIFF_FROM_NEIGHBOR_AVE_LIST_PRICE,HOA_FEES,YRS_SINCE_REMOD,AGE_OF_HOME,PROPERTY_TYPE_Condo/Co-op,PROPERTY_TYPE_Multi-Family (2-4 Unit),BTH_STYLE_M,KITCH_STYLE_M,trend
-540405.737771739,165.0,49.0,120.0,1,0,0,0,53.84929272353954
156487.58129175944,0.0,3.0,129.0,0,0,0,1,53.84929272353954
-83529.161971831,0.0,18.0,119.0,0,0,1,1,53.82884980492944
-69827.45945945947,0.0,3.0,63.0,0,0,1,1,53.73336218674199
-115852.28686868688,0.0,3.0,79.0,0,0,1,1,53.74985170016183
-106752.28686868688,0.0,5.0,59.0,0,0,0,1,52.502177730649684
54147.713131313096,0.0,3.0,48.0,0,0,1,1,52.82029713961896
-87529.161971831,175.0,3.0,3.0,0,0,1,1,53.658885394781244
-480405.73777173896,125.0,3.0,119.0,0,0,1,1,53.74985170016183
-350405.73777173896,279.0,36.0,139.0,1,0,0,0,53.658885394781244
-169346.48575949366,432.0,17.0,113.0,1,0,1,1,53.73336218674199
-378853.18461538455,438.0,13.0,13.0,1,0,1,1,53.44233391370959
-300346.4857594937,165.0,3.0,114.0,1,0,1,1,53.84929272353954
-94812.03658536587,0.0,119.0,119.0,0,0,0,0,53.658885394781244
112584.6282051282,210.0,4.0,3.0,1,0,1,1,53.82884980492944
485594.26222826104,392.0,4.0,4.0,1,0,0,0,53.84929272353954
-163529.161971831,175.0,12.0,89.0,1,0,1,1,53.17250077097781
-137529.161971831,202.0,3.0,11.0,0,0,1,1,53.44233391370959
2470.838028169004,0.0,114.0,114.0,0,1,0,0,53.82884980492944
87470.838028169,0.0,119.0,119.0,0,1,0,0,53.658885394781244
90287.96341463413,0.0,4.0,99.0,0,1,1,1,53.73336218674199
6470.838028169004,0.0,3.0,91.0,0,1,0,0,53.54438576992164
-299827.45945945947,205.0,15.0,49.0,1,0,0,0,53.74985170016183
-721344.096196868,414.0,4.0,129.0,1,0,1,1,52.12104274268022
226487.58129175944,0.0,16.0,92.0,0,1,1,1,53.17250077097781
45587.581291759445,0.0,4.0,109.0,0,0,1,0,52.502177730649684
-559321.5864197529,316.0,41.0,169.0,1,0,0,0,53.74985170016183
-533322.5864197529,303.0,41.0,169.0,1,0,0,0,53.54438576992164
-276421.3673469387,351.0,14.0,99.0,1,0,1,1,53.658885394781244
-536421.3673469387,222.0,3.0,119.0,1,0,0,1,53.54438576992164
656053.5316698656,0.0,2.0,169.0,0,0,0,0,52.82029713961896
307053.5316698656,0.0,23.0,189.0,0,0,1,1,53.54438576992164
-57946.468330134405,219.0,12.0,132.0,1,0,1,1,52.82029713961896
-67946.4683301344,0.0,29.0,129.0,0,0,0,0,52.502177730649684
15413.318681318662,581.0,14.0,14.0,1,0,1,1,52.502177730649684
-88752.35593220335,270.0,4.0,109.0,1,0,1,1,52.502177730649684
-374405.73777173896,197.0,10.0,129.0,1,0,1,1,53.54438576992164
-54346.48575949366,150.0,17.0,129.0,1,0,1,1,53.44233391370959
221496.4076655052,921.0,12.0,12.0,1,0,0,1,53.74985170016183
-344346.4857594937,185.0,129.0,129.0,1,0,1,1,53.73336218674199
-38764.75438596495,250.0,19.0,19.0,1,0,1,0,53.74985170016183
438990.06153846154,0.0,2.0,134.0,0,1,1,1,52.502177730649684
-61551.979999999974,216.0,16.0,144.0,1,0,1,1,53.82884980492944
189247.7131313131,0.0,5.0,119.0,0,0,1,1,52.502177730649684
12235.245614035057,0.0,114.0,114.0,0,1,0,0,53.54438576992164
-188764.7543859649,312.0,17.0,84.0,1,0,0,0,53.658885394781244
-223529.16197183105,0.0,99.0,99.0,1,0,1,1,53.73336218674199
-129446.48575949365,298.0,13.0,13.0,1,0,1,1,53.82884980492944
-90727.45945945947,0.0,3.0,89.0,0,0,1,1,53.54438576992164
-34412.418708240555,0.0,4.0,3.0,1,0,1,1,53.658885394781244
-307915.107776262,380.0,14.0,14.0,0,0,1,1,53.82884980492944
-123512.41870824054,155.0,18.0,109.0,1,0,1,1,53.54438576992164
-264824.107776262,250.0,32.0,114.0,1,0,0,0,53.82884980492944
-314824.107776262,200.0,8.0,89.0,1,0,1,1,53.73336218674199
-284824.107776262,195.0,109.0,109.0,1,0,0,0,53.44233391370959
41273.72815533978,0.0,17.0,84.0,0,1,0,0,53.44233391370959
-18626.271844660223,0.0,3.0,109.0,0,0,0,1,52.502177730649684
-353529.161971831,300.0,15.0,109.0,1,0,0,0,53.658885394781244
537470.838028169,0.0,17.0,131.0,0,0,1,1,53.82884980492944
-142764.75438596494,200.0,13.0,13.0,1,0,1,1,53.44233391370959
-48824.10777626198,160.0,11.0,114.0,1,0,1,1,53.82884980492944
536075.892223738,0.0,5.0,119.0,0,1,0,0,53.82884980492944
-230346.48575949372,126.0,10.0,114.0,1,0,1,1,53.73336218674199
64147.713131313096,0.0,2.0,99.0,0,1,0,0,53.74985170016183
-112629.161971831,0.0,3.0,114.0,0,0,1,1,53.44233391370959
